,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
426,taylor-swift,ready-for-it,120018,,
427,the-prodigy,no-tourists,17527,,
428,florence-the-machine,hunger,96851,,
429,zedd,the-middle,122073,,
430,robyn,baby-forgive-me,25256,,
431,my-chemical-romance,welcome-to-the-black-parade,834588,,
432,sza,love-galore-feat-travis-scott,44663,,
433,the-weeknd,cant-feel-my-face,444786,,
434,johnny-cash,hurt,1071450,,
435,adele,rolling-in-the-deep,1234724,,
436,dennis-lloyd,nevermind,118232,,
437,queen,ay-oh-live-aid,20254,,
438,david-guetta,flames,114564,,
439,sam-smith,too-good-at-goodbyes,159953,,
440,bon-iver,holocene,693749,,
441,troye-sivan,bloom,61345,,
442,avril-lavigne,head-above-water,46591,,
443,beyonce,halo,949349,,
444,arctic-monkeys,arabella,498768,,
445,selena-gomez,wolves,149439,,
446,lana-del-rey,love,192577,,
447,backstreet-boys,i-want-it-that-way,540976,,
448,rita-ora,girls-feat-cardi-b-bebe-rexha-charli-xcx,59579,,
449,onerepublic,counting-stars,632508,,
450,the-beatles,glass-onion-2018-mix,17180,,
451,kanye-west,black-skinhead,446692,,
452,soft-cell,tainted-love,709499,,
453,the-chainsmokers,closer,257925,,
454,lukas-graham,love-someone,35305,,
455,radiohead,fake-plastic-trees,1059952,,
456,avicii,wake-me-up,646632,,
457,red-hot-chili-peppers,dani-california,1251736,,
458,slipknot,duality,614315,,
459,mariah-carey,caution,17214,,
460,imagine-dragons,digital,17076,,
461,daughters,long-road-no-turns,19164,,
462,arctic-monkeys,four-out-of-five,95556,,
463,mumford-sons,42,17245,,
464,travi-scott,stop-trying-to-be-god,58377,,
465,vince-staples,brand-new-tyga-interlude,16979,,
466,jason-mraz,im-yours,1269572,,
467,lana-del-rey,young-and-beautiful,522616,,
468,anderson-paak,sweet-chick-feat-bj-the-chicago-kid,17139,,
469,the-chainsmokers,this-feeling,40454,,
470,kids-see-ghosts,freeee-ghost-town-pt-2,63362,,
471,mariah-carey,gtfo,26605,,
472,the-cure,boys-dont-cry,955645,,
473,frank-ocean,chanel,125777,,
474,dexys-midnight-runners,come-on-eileen,554076,,
475,the-smiths,this-charming-man-2011-remastered-version,173221,,
476,xxxtentacion,bad,16741,,
477,metro-boomin,up-to-something-feat-travis-scott-young-thug,16813,,
478,green-day,american-idiot,970978,,
479,paramore,misery-business,993996,,
480,edward-sharpe-the-magnetic-zeros,home,813738,,
481,the-strokes,someday,1097038,,
482,mgmt,little-dark-age,106150,,
483,mgmt,time-to-pretend,1387720,,
484,ariana-grande,get-well-soon,49831,,
485,john-mayer,new-light,64867,,
486,mazzy-star,fade-into-you,470009,,
487,passenger,let-her-go,671563,,
488,the-1975,somebody-else,152653,,
489,imagine-dragons,stuck,16669,,
490,robyn,send-to-robin-immediately,24175,,
491,billie-eilish,copycat,56901,,
492,the-rolling-stones,sympathy-for-the-devil,977911,,
493,david-guetta,say-my-name,40962,,
494,ac-dc,thunderstruck,734881,,
495,adele,someone-like-you,977027,,
496,the-cranberries,linger,734929,,
497,robyn,human-being,24299,,
498,daughters,satan-in-the-wait,19426,,
499,ed-sheeran,thinking-out-loud,504164,,
500,bts,idol,39061,,
501,the-1975,its-not-living-if-its-not-with-you,27506,,
502,arctic-monkeys,when-the-sun-goes-down,949861,,
503,queen,dont-stop-me-now,1020162,,
504,taylor-swift,i-did-something-bad,73365,,
505,kygo,born-to-be-yours,74292,,
506,little-mix,think-about-us,16475,,
507,demi-lovato,sorry-not-sorry,161454,,
508,radiohead,paranoid-android,1328316,,
509,rihanna,needed-me,239168,,
510,pearl-jam,alive,940647,,
511,foals,my-number,465550,,
512,the-beatles,come-together-remastered-2009,109516,,
513,lady-gaga,million-reasons,169619,,
514,robyn,between-the-lines,23329,,
515,kids-see-ghosts,kids-see-ghosts,63308,,
516,lauv,i-like-me-better,131951,,
517,cardi-b,bodak-yellow,147039,,
518,keane,somewhere-only-we-know,1052615,,
519,imagine-dragons,love,16363,,
520,billie-eilish,my-boy,54618,,
521,audioslave,like-a-stone,881116,,
522,beck,loser,926261,,
523,pusha-t,if-you-know-you-know,64177,,
524,fleetwood-mac,go-your-own-way-2004-remastered-edition,109119,,
525,muse,the-dark-side-alternate-reality-version,16276,,
526,lana-del-rey,video-games-remastered,39402,,
527,boston,more-than-a-feeling,899731,,
528,jonas-blue,rise,73894,,
529,peter-bjorn-and-john,young-folks,876335,,
530,rosalia,pienso-en-tu-mira-cap-3-celos,21200,,
531,drake,passionfruit,199827,,
532,men-at-work,down-under,592429,,
533,lady-gaga,look-what-i-found,31556,,
534,kings-of-leon,use-somebody,1343966,,
535,rita-ora,your-song,133074,,
536,foster-the-people,worst-nites,16253,,
537,bloc-party,banquet,1000328,,
538,fall-out-boy,sugar-were-goin-down,564298,,
539,dua-lipa,blow-your-mind-mwah,156373,,
540,brockhampton,new-orleans,48006,,
541,metro-boomin,10am-save-the-world-feat-gucci-mane,16083,,
542,lana-del-rey,blue-jeans,722056,,
543,kendrick-lamar,element,195712,,
544,grizzly-bear,two-weeks,620243,,
545,ariana-grande,blazed-feat-pharrell-williams,57924,,
546,dua-lipa,be-the-one,171737,,
547,ariana-grande,borderline-feat-missy-elliott,51325,,
548,survivor,eye-of-the-tiger,909601,,
549,anderson-paak,left-to-right,16131,,
550,weezer,buddy-holly,989080,,
551,selena-gomez,back-to-you-from-13-reasons-why-season-2-soundtrack,63243,,
552,imagine-dragons,birds,15993,,
553,joji,cant-get-over-you-feat-clams-casino,28125,,
554,nicki-minaj,chun-li,80620,,
555,lorde,tennis-court,499016,,
556,the-carters,apeshit,78699,,
557,pabllo-vittar,problema-seu,29194,,
558,billie-eilish,bitches-broken-hearts,45419,,
559,talking-heads,psycho-killer-2005-remastered-version,140941,,
560,george-harrison,my-sweet-lord,531749,,
561,elton-john,rocket-man-i-think-its-going-to-be-a-long-long-time,127496,,
562,taylor-swift,style,188522,,
563,radiohead,everything-in-its-right-place,976011,,
564,the-lumineers,ho-hey,797671,,
565,david-bowie,starman-2012-remastered-version,159988,,
566,kanye-west,gold-digger,592963,,
567,kendrick-lamar,alright,269328,,
568,the-doors,riders-on-the-storm,865768,,
569,lauv,theres-no-way-feat-julia-michaels,29896,,
570,hall-oates,you-make-my-dreams,413872,,
571,ed-sheeran,photograph,397713,,
572,taylor-swift,wildest-dreams,173028,,
573,outkast,hey-ya-radio-mix-club-mix,310070,,
574,twenty-one-pilots,levitate,51966,,
575,kavinsky,nightcall,458640,,
576,whitney-houston,i-wanna-dance-with-somebody-who-loves-me,281313,,
577,nickelback,how-you-remind-me,985872,,
578,gorillaz,on-melancholy-hill,712113,,
579,pabllo-vittar,disk-me,23888,,
580,cyndi-lauper,girls-just-want-to-have-fun,731646,,
581,beyonce,crazy-in-love,719884,,
582,charlie-puth,attention,187081,,
583,michael-buble,its-beginning-to-look-a-lot-like-christmas,283572,,
584,miley-cyrus,party-in-the-u-s-a,626522,,
585,mitski,nobody,47598,,
586,avril-lavigne,complicated,687977,,
587,arcade-fire,the-suburbs,640258,,
588,beach-house,space-song,170395,,
589,bobby-helms,jingle-bell-rock,399865,,
590,lil-peep,save-that-shit,67466,,
591,metro-boomin,no-more-feat-travis-scott-kodak-black-21-savage,15484,,
592,arctic-monkeys,i-wanna-be-yours,417967,,
593,blink-182,whats-my-age-again,869359,,
594,tyler-the-creator,lights-on-feat-ryan-beatty-santigold,15760,,
595,radiohead,weird-fishes-arpeggi,104252,,
596,florence-the-machine,youve-got-the-love,897189,,
597,fleetwood-mac,landslide,421172,,
598,modest-mouse,float-on,1109046,,
599,david-bowie,heroes-2017-remastered-version,55667,,
600,arctic-monkeys,snap-out-of-it,433111,,
601,khalid,love-lies-with-normani,103611,,
602,britney-spears,oops-i-did-it-again,348466,,
603,shakira,hips-dont-lie,548418,,
604,blocboy-jb,look-alive-feat-drake,100355,,
605,arctic-monkeys,505,606435,,
