Name,titre,Listeners,,
Vampire Weekend,A-Punk,1114903,,
Guns N' Roses,Welcome to the Jungle,1233394,,
No Doubt,Don't Speak,974108,,
The Who,Baba O'Riley,847656,,
The Smiths,There Is A Light That Never Goes Out - 2011 Remastered Version,240313,,
Kendrick Lamar,LOVE. FEAT. ZACARI.,170764,,
"Tyler, the Creator",Who Dat Boy,115536,,
Drake,One Dance,325296,,
BROCKHAMPTON,BLEACH,79873,,
Lorde,Sober,142405,,
Twenty One Pilots,Heathens,283806,,
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),67935,,
Bastille,Pompeii,702927,,
The Black Keys,Lonely Boy,785102,,
Post Malone,Congratulations,161128,,
Lady Gaga,Telephone (feat. Beyoncé),688703,,
Post Malone,I Fall Apart,135552,,
Muse,Algorithm (alternate reality version),17727,,
Little Mix,Told You So,17689,,
The Chainsmokers,Something Just Like This,207971,,
Hozier,Movement,17934,,
LIL PEEP,Broken Smile (My All),17620,,
Imagine Dragons,Only,17641,,
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",108125,,
Rihanna,Umbrella,867084,,
Gnarls Barkley,Crazy,1093265,,
The Chainsmokers,Beach House,17923,,
Paramore,HarD TiMEs,148668,,
Marshmello,FRIENDS,125344,,
The Rolling Stones,Gimme Shelter,941692,,
Taylor Swift,...Ready For It?,120018,,
The Prodigy,No Tourists,17527,,
Florence + the Machine,Hunger,96851,,
Zedd,The Middle,122073,,
Robyn,Baby Forgive Me,25256,,
My Chemical Romance,Welcome to the Black Parade,834588,,
SZA,Love Galore (feat. Travis Scott),44663,,
The Weeknd,Can't Feel My Face,444786,,
Johnny Cash,Hurt,1071450,,
Adele,Rolling in the Deep,1234724,,
Dennis Lloyd,Nevermind,118232,,
Queen,Ay-Oh - Live Aid,20254,,
David Guetta,Flames,114564,,
Sam Smith,Too Good at Goodbyes,159953,,
Bon Iver,Holocene,693749,,
Troye Sivan,Bloom,61345,,
Avril Lavigne,Head Above Water,46591,,
Beyoncé,Halo,949349,,
Arctic Monkeys,Arabella,498768,,
Selena Gomez,Wolves,149439,,
Lana Del Rey,Love,192577,,
Backstreet Boys,I Want It That Way,540976,,
Rita Ora,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",59579,,
OneRepublic,Counting Stars,632508,,
The Beatles,Glass Onion - 2018 Mix,17180,,
Kanye West,Black Skinhead,446692,,
Soft Cell,Tainted Love,709499,,
The Chainsmokers,Closer,257925,,
Lukas Graham,Love Someone,35305,,
Radiohead,Fake Plastic Trees,1059952,,
Avicii,Wake Me Up,646632,,
Red Hot Chili Peppers,Dani California,1251736,,
Slipknot,Duality,614315,,
Mariah Carey,Caution,17214,,
Imagine Dragons,Digital,17076,,
Daughters,"Long Road, No Turns",19164,,
Arctic Monkeys,Four Out of Five,95556,,
Mumford & Sons,42,17245,,
Travi$ Scott,STOP TRYING TO BE GOD,58377,,
Vince Staples,Brand New Tyga - Interlude,16979,,
Jason Mraz,I'm Yours,1269572,,
Lana Del Rey,Young and Beautiful,522616,,
Anderson .Paak,Sweet Chick (feat. BJ the Chicago Kid),17139,,
The Chainsmokers,This Feeling,40454,,
Kids See Ghosts,Freeee (Ghost Town Pt. 2),63362,,
Mariah Carey,GTFO,26605,,
The Cure,Boys Don't Cry,955645,,
Frank Ocean,Chanel,125777,,
Dexys Midnight Runners,Come on Eileen,554076,,
The Smiths,This Charming Man - 2011 Remastered Version,173221,,
xxxtentacion,BAD,16741,,
